Museum,Species,Country,Province,Latitude,Longitude,Sex,Mature,HeadL,HeadWP,SnEye,NarEye,EyeD,IntOrb,IntNar,SVL,TrunkL,ForarmL,HandL,ThreeFingL,ThighL,CrusL,TarsL,FootL,HindlL,FourToeL,HeadL/SVL,HeadWP/HeadL,SnEy/HeadL,NarEy/SnEy,Intnar/SnEy,EyeD/SnEy,TrunkL/SVL,ForeaL/SVL,3FingL/HandL,ForeaL/ThighL,HindL/SVL,ThighL/SVL,CrusL/SVL,CrusL/ThighL,FootL/HindlL,4ToeL/FootL,FootL/SVL,Comments
CAS 231521,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,7.2,6.8,3,1.8,2.4,5.4,1.9,22.4,10.8,5.6,6.5,4.3,10.8,11.2,6.7,12.2,40.9,7.2,0.321,0.944,0.417,0.6,0.633,0.8,0.482,0.25,0.662,0.519,1.826,0.482,0.5,1.037,0.298,0.59,0.545,"*Note that many of the USNM/FMNH Thai Micryletta do not have exact GPS data available (only district-level locality), thus were centrally geolocated for mapping purposes."
CAS 231522,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,6.8,7,2.8,1.6,2.5,5.5,2.1,22.2,10,5.6,6,4.1,10.9,11.2,6,11.6,39.7,7.6,0.306,1.029,0.412,0.571,0.75,0.893,0.45,0.252,0.683,0.514,1.788,0.491,0.505,1.028,0.292,0.655,0.523,
CAS 231524,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Female,1,6.7,7,3,1.8,2.4,5.2,2.1,23,12.4,5.7,6.3,4.2,11.1,10.9,6.5,11.6,40.1,7,0.291,1.045,0.448,0.6,0.7,0.8,0.539,0.248,0.667,0.514,1.743,0.483,0.474,0.982,0.289,0.603,0.504,
CAS 231508,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.2,6,2.9,1.4,2.5,4.8,1.6,18.8,7.4,4.3,4.7,3.1,8.7,8.7,5.3,9.6,32.3,5.9,0.33,0.968,0.468,0.483,0.552,0.862,0.394,0.229,0.66,0.494,1.718,0.463,0.463,1,0.297,0.615,0.511,
CAS 231509,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.4,6.1,2.9,1.4,2.6,5.6,2,19.5,8.6,4.9,5.4,3.6,9.3,9.4,5.5,9.6,33.8,6,0.328,0.953,0.453,0.483,0.69,0.897,0.441,0.251,0.667,0.527,1.733,0.477,0.482,1.011,0.284,0.625,0.492,
CAS 231510,Micryletta aishani,Myanmar,Kachin,25.259222,96.330028,Male,1,6.1,5.9,2.6,1.5,2.4,5.2,1.6,20.8,7.6,5.3,5.7,3.8,9.5,9.7,5.7,11.6,36.5,6,0.293,0.967,0.426,0.577,0.615,0.923,0.365,0.255,0.667,0.558,1.755,0.457,0.466,1.021,0.318,0.517,0.558,
CAS 231511,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.7,6.3,2.9,1.6,2.2,5.1,1.7,21.3,8.6,4.9,5.7,3.7,10,9.5,5.8,10.7,36,6.3,0.268,1.105,0.509,0.552,0.586,0.759,0.404,0.23,0.649,0.49,1.69,0.469,0.446,0.95,0.297,0.589,0.502,
CAS 231512,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,6.3,6.3,3,1.7,2.5,5.1,1.8,20.6,8.9,5.2,5.6,4,10.4,10.1,6.3,11.2,38,6.8,0.306,1,0.476,0.567,0.6,0.833,0.432,0.252,0.714,0.5,1.845,0.505,0.49,0.971,0.295,0.607,0.544,
CAS 231513,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.8,5.4,3,1.6,2.3,5,1.8,21.8,9.5,5.7,5.5,3.9,10.1,9.9,5.7,11.4,37.1,7.2,0.266,0.931,0.517,0.533,0.6,0.767,0.436,0.261,0.709,0.564,1.702,0.463,0.454,0.98,0.307,0.632,0.523,
CAS 231514,Micryletta aishani,Myanmar,Kachin,24.987306,96.372917,Male,1,5.8,6.1,2.5,1.6,2.4,4.7,1.7,19.8,8.6,5,5.3,3.7,9.1,8.9,5.4,10.2,33.6,6.4,0.293,1.052,0.431,0.64,0.68,0.96,0.434,0.253,0.698,0.549,1.697,0.46,0.449,0.978,0.304,0.627,0.515,
